lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,lr-AdamW/pg5,lr-AdamW/pg6,step,micro@P,micro@R,micro@F1,macro@P,macro@R,macro@F1,MD@R,MD@P,MD@F1,ALLTRUE,ALLRECALLED,ALLPRED,loss,epoch,val_micro@P,val_micro@R,val_micro@F1,val_macro@P,val_macro@R,val_macro@F1,val_MD@R,val_MD@P,val_MD@F1,val_ALLTRUE,val_ALLRECALLED,val_ALLPRED,val_loss
,,,,,,63,,,,,,,,,,,,,,,0.9681336879730225,0.9725746512413025,0.9703490734100342,0.9391538500785828,0.9388523697853088,0.9389805793762207,0.9757954478263855,0.971339762210846,0.973562479019165,10246.0,9998.0,10293.0,1.6608352661132812
,,,,,,231,,,,,,,,,,,,,6.168639659881592,1,0.9681336879730225,0.9725746512413025,0.9703490734100342,0.9391538500785828,0.9388523697853088,0.9389805793762207,0.9757954478263855,0.971339762210846,0.973562479019165,10246.0,9998.0,10293.0,6.06298828125
,,,,,,231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35877224802970886,1,,,,,,,,,,,,,
1.932548744071667e-05,1.932548744071667e-05,0.001932548744071667,0.0001932548744071667,0.0001932548744071667,0.0001932548744071667,249,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,249,0.9867439866065979,0.985927164554596,0.9863353967666626,0.9777263402938843,0.9347831606864929,0.9544786214828491,0.9884105920791626,0.9892295002937317,0.9888198971748352,1208.0,1194.0,1207.0,1.621190071105957,2,,,,,,,,,,,,,
1.9149833128403304e-05,1.9149833128403304e-05,0.0019149833128403301,0.00019149833128403302,0.00019149833128403302,0.00019149833128403302,299,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,299,0.9878762364387512,0.9887029528617859,0.9882894158363342,0.9776732921600342,0.9636967778205872,0.9704986214637756,0.9899581670761108,0.989130437374115,0.989544153213501,4780.0,4732.0,4784.0,0.05185222625732422,2,,,,,,,,,,,,,
,,,,,,64,,,,,,,,,,,,,,,0.9878093600273132,0.9885397553443909,0.9881744384765625,0.9780427813529968,0.9639598727226257,0.9708096385002136,0.9896488189697266,0.9889176487922668,0.9892830848693848,8115.0,8031.0,8121.0,6.659412384033203
,,,,,,65,,,,,,,,,,,,,,,0.9871716499328613,0.9877750873565674,0.9874732494354248,0.9775704741477966,0.9634736180305481,0.9703302979469299,0.9889975786209106,0.9883934259414673,0.9886953830718994,8180.0,8090.0,8185.0,6.947756767272949
,,,,,,66,,,,,,,,,,,,,,,0.9867766499519348,0.9873755574226379,0.9870760440826416,0.9754725098609924,0.9635390639305115,0.969363272190094,0.988710880279541,0.988111138343811,0.9884108901023865,8238.0,8145.0,8243.0,1.940748691558838
,,,,,,67,,,,,,,,,,,,,,,0.9860627055168152,0.9870114326477051,0.9865368604660034,0.9732251167297363,0.9634961485862732,0.9682589173316956,0.9884545803070068,0.9875044822692871,0.9879793524742126,8315.0,8219.0,8323.0,5.1758012771606445
,,,,,,68,,,,,,,,,,,,,,,0.9852204918861389,0.9861608147621155,0.9856904149055481,0.9724596738815308,0.9627758264541626,0.9675158858299255,0.9879503846168518,0.9870083332061768,0.9874791502952576,8382.0,8281.0,8390.0,5.880986213684082
,,,,,,69,,,,,,,,,,,,,,,0.984850287437439,0.9857836961746216,0.9853167533874512,0.9722291231155396,0.9623531699180603,0.9671898484230042,0.987916111946106,0.9869807362556458,0.9874482154846191,8441.0,8339.0,8449.0,3.1523685455322266
,,,,,,70,,,,,,,,,,,,,,,0.9838237166404724,0.9855566024780273,0.9846894145011902,0.9711820483207703,0.9620636701583862,0.9665200710296631,0.9876702427864075,0.9859336614608765,0.9868012070655823,8516.0,8411.0,8531.0,11.985840797424316
,,,,,,71,,,,,,,,,,,,,,,0.9830153584480286,0.9849632978439331,0.983988344669342,0.9706494212150574,0.9617531299591064,0.9660993218421936,0.9871779680252075,0.9852256774902344,0.9862008690834045,8579.0,8469.0,8596.0,7.338533401489258
,,,,,,72,,,,,,,,,,,,,,,0.9822559952735901,0.9844110608100891,0.9833323955535889,0.9687587022781372,0.9601449370384216,0.9643566012382507,0.9868360161781311,0.9846756458282471,0.985754668712616,8660.0,8546.0,8679.0,4.801108360290527
,,,,,,73,,,,,,,,,,,,,,,0.9821490049362183,0.9838376641273499,0.9829925894737244,0.967598557472229,0.9575377702713013,0.9624506235122681,0.9862448573112488,0.9845520257949829,0.9853976964950562,8724.0,8604.0,8739.0,2.9584879875183105
